timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 20:31:10.453, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.69 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:10.508, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:10.558, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.76 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:10.609, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.84 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:10.659, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.84 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:10.709, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.87 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:10.759, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.87 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:10.810, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.93 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:10.860, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.93 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:10.910, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.96 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:10.960, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.96 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.010, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.03 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.061, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.03 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.111, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.08 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.161, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.08 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.211, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.262, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.312, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.17 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.362, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.17 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.412, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.24 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.462, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.24 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.512, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.26 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.563, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.26 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.613, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.27 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.663, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.27 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.713, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.22 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.763, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.22 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.813, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.23 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.864, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.23 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.914, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.18 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:11.964, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.18 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.014, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.21 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.064, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.21 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.114, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.15 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.165, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.15 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.215, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.265, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.315, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.365, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.415, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.465, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.516, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.566, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.616, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 20:31:12.666, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.14 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
