timestamp,index,name,driver_version,utilization.gpu[],memory.total[],memory.used[],power.draw[],temperature.gpu,clocks.current.graphics[],clocks.current.sm[],clocks.current.memory[]
2025/10/0520:31:10.453,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.69,45,2535,2535,10251
2025/10/0520:31:10.508,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.76,45,2535,2535,10251
2025/10/0520:31:10.558,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.76,45,2535,2535,10251
2025/10/0520:31:10.609,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.84,45,2535,2535,10251
2025/10/0520:31:10.659,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.84,45,2535,2535,10251
2025/10/0520:31:10.709,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.87,45,2535,2535,10251
2025/10/0520:31:10.759,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.87,45,2535,2535,10251
2025/10/0520:31:10.810,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.93,45,2535,2535,10251
2025/10/0520:31:10.860,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.93,45,2535,2535,10251
2025/10/0520:31:10.910,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.96,45,2535,2535,10251
2025/10/0520:31:10.960,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,53.96,45,2535,2535,10251
2025/10/0520:31:11.010,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.03,45,2535,2535,10251
2025/10/0520:31:11.061,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.03,45,2535,2535,10251
2025/10/0520:31:11.111,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.08,45,2535,2535,10251
2025/10/0520:31:11.161,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.08,45,2535,2535,10251
2025/10/0520:31:11.211,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:11.262,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:11.312,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.17,45,2535,2535,10251
2025/10/0520:31:11.362,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.17,45,2535,2535,10251
2025/10/0520:31:11.412,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.24,45,2535,2535,10251
2025/10/0520:31:11.462,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.24,45,2535,2535,10251
2025/10/0520:31:11.512,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.26,45,2535,2535,10251
2025/10/0520:31:11.563,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.26,45,2535,2535,10251
2025/10/0520:31:11.613,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.27,45,2535,2535,10251
2025/10/0520:31:11.663,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.27,45,2535,2535,10251
2025/10/0520:31:11.713,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.22,45,2535,2535,10251
2025/10/0520:31:11.763,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.22,45,2535,2535,10251
2025/10/0520:31:11.813,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.23,45,2535,2535,10251
2025/10/0520:31:11.864,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.23,45,2535,2535,10251
2025/10/0520:31:11.914,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.18,45,2535,2535,10251
2025/10/0520:31:11.964,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.18,45,2535,2535,10251
2025/10/0520:31:12.014,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.21,45,2535,2535,10251
2025/10/0520:31:12.064,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.21,45,2535,2535,10251
2025/10/0520:31:12.114,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.15,45,2535,2535,10251
2025/10/0520:31:12.165,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.15,45,2535,2535,10251
2025/10/0520:31:12.215,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.265,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.315,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.365,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.415,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.465,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.516,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.566,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.616,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.666,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.716,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.766,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.817,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.867,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.917,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:12.967,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:13.017,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
2025/10/0520:31:13.067,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22682,54.14,45,2535,2535,10251
