timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:30:55.759, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.11 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:55.812, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.11 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:55.862, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.11 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:55.912, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.19 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.043, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.20 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.093, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.20 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.143, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.20 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.193, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.23 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.244, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.23 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.294, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.24 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.344, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.24 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.480, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.24 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.530, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.24 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.580, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.24 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.631, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.28 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.681, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.28 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.731, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.31 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.781, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.31 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.832, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.31 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 04:30:56.883, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22734 MiB, 54.25 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
