timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:05:49.580, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.04 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.632, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.03 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.684, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.03 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.736, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.02 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.787, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.02 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.839, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.00 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.891, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 46.00 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.943, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.98 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.994, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.98 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.046, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.98 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.097, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.98 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.149, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.97 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.200, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.97 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.253, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.95 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.304, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.95 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.356, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.92 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.407, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.92 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.459, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.87 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.511, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.87 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.563, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.83 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.614, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.83 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.666, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.80 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.718, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.78 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.770, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.78 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.822, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.74 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.874, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.74 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.926, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.70 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.978, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.70 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.030, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.67 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.082, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.67 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.134, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.64 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.186, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.64 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.238, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.290, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.341, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.61 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.394, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.61 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.446, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.61 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.497, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.61 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.550, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.62 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.601, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.62 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.654, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.706, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.757, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.809, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.860, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.912, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:51.963, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:52.015, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:52.066, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:52.118, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:52.169, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 45.60 W, 40, 2610 MHz, 2610 MHz, 10251 MHz
