timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:11:39.791, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.01 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:39.844, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.01 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:39.895, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.06 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:39.947, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.06 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.000, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.07 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.051, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.07 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.103, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.08 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.154, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.08 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.206, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.06 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.258, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.06 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.310, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.00 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.361, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.00 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.413, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.96 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.464, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.96 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.517, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.96 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.568, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.96 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.620, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.96 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.671, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.96 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.723, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.95 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.774, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.95 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.826, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.93 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.878, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.93 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.930, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.97 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:40.982, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.97 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.034, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.04 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.085, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.08 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.138, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.08 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.189, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.08 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.243, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.08 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.294, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.08 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.346, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.08 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.398, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.06 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.450, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.06 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.501, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.05 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.553, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.05 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.604, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.05 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.657, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.05 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.708, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.06 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.760, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.06 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.811, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.03 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.863, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.03 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.914, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.01 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:41.966, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.01 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.017, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.01 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.069, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.01 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.120, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.82 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.172, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.82 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.223, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.84 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.275, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.84 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.327, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.85 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.379, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.85 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.431, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.88 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.482, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.94 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.534, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 26.94 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.585, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.00 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.642, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.00 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.694, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.02 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
2025/10/05 04:11:42.746, 0, NVIDIA GeForce RTX 4070, 550.54.15, 0 %, 12282 MiB, 10468 MiB, 27.02 W, 43, 2490 MHz, 2490 MHz, 10251 MHz
