timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:05:49.586, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.42 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.638, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.42 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.691, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.41 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.743, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.41 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.794, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.40 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.846, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.40 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.898, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.37 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:49.950, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.37 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.002, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.38 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.054, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.38 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.106, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.36 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.157, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.35 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.210, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.35 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.261, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.37 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.313, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.37 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.365, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.38 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
2025/10/05 04:05:50.416, 0, NVIDIA GeForce RTX 4090, 550.54.15, 0 %, 24564 MiB, 22677 MiB, 54.38 W, 39, 2610 MHz, 2610 MHz, 10251 MHz
