timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 19:59:01.346, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.04 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.401, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.04 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.451, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.04 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.501, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.06 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.552, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.06 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.602, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.04 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.652, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.04 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.702, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.03 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.753, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.03 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.803, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.02 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.853, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.02 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.903, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.02 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:01.953, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.02 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.004, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.00 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.054, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 54.00 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.104, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.98 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.154, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.98 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.204, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.97 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.255, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.97 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.305, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.96 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.355, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.96 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.405, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.97 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
2025/10/05 19:59:02.455, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22682 MiB, 53.97 W, 45, 2535 MHz, 2535 MHz, 10251 MHz
