timestamp,index,name,driver_version,utilization.gpu[],memory.total[],memory.used[],power.draw[],temperature.gpu,clocks.current.graphics[],clocks.current.sm[],clocks.current.memory[]
2025/10/0509:19:47.366,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.92,27,2580,2580,10251
2025/10/0509:19:47.420,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.97,27,2580,2580,10251
2025/10/0509:19:47.470,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.97,27,2580,2580,10251
2025/10/0509:19:47.520,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.04,27,2580,2580,10251
2025/10/0509:19:47.570,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.04,27,2580,2580,10251
2025/10/0509:19:47.621,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.01,27,2580,2580,10251
2025/10/0509:19:47.671,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.01,27,2580,2580,10251
2025/10/0509:19:47.721,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.98,27,2580,2580,10251
2025/10/0509:19:47.771,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.98,27,2580,2580,10251
2025/10/0509:19:47.821,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.00,27,2580,2580,10251
2025/10/0509:19:47.872,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.00,27,2580,2580,10251
2025/10/0509:19:47.922,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.05,27,2580,2580,10251
2025/10/0509:19:47.972,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.05,27,2580,2580,10251
2025/10/0509:19:48.022,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.07,27,2580,2580,10251
2025/10/0509:19:48.072,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.07,27,2580,2580,10251
2025/10/0509:19:48.123,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.02,27,2580,2580,10251
2025/10/0509:19:48.173,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.02,27,2580,2580,10251
2025/10/0509:19:48.223,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.01,27,2580,2580,10251
2025/10/0509:19:48.273,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.01,27,2580,2580,10251
2025/10/0509:19:48.323,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.97,27,2580,2580,10251
2025/10/0509:19:48.373,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.97,27,2580,2580,10251
2025/10/0509:19:48.424,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.99,27,2580,2580,10251
2025/10/0509:19:48.474,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.99,27,2580,2580,10251
2025/10/0509:19:48.524,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.95,27,2580,2580,10251
2025/10/0509:19:48.574,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.95,27,2580,2580,10251
2025/10/0509:19:48.624,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.94,27,2580,2580,10251
2025/10/0509:19:48.674,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.94,27,2580,2580,10251
2025/10/0509:19:48.725,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.99,27,2580,2580,10251
2025/10/0509:19:48.775,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.99,27,2580,2580,10251
2025/10/0509:19:48.825,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.98,27,2580,2580,10251
2025/10/0509:19:48.875,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.98,27,2580,2580,10251
2025/10/0509:19:48.925,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.98,27,2580,2580,10251
2025/10/0509:19:48.975,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.98,27,2580,2580,10251
2025/10/0509:19:49.026,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.92,27,2580,2580,10251
2025/10/0509:19:49.076,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.92,27,2580,2580,10251
2025/10/0509:19:49.126,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.176,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.226,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.276,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.326,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.377,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.427,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.477,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.527,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.577,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.627,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.677,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.728,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.778,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.828,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.878,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.928,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:49.978,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:50.028,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:50.079,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.85,27,2580,2580,10251
2025/10/0509:19:50.129,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.179,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.229,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.279,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.330,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.380,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.430,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.480,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.530,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
2025/10/0509:19:50.580,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.27,27,2580,2580,10251
