run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
1,extrae,10000,500,7,1.285810,0.736291,4000
10,tikki,10000,250,10,1.181379,0.636350,16000
100,empty,10000,1000,3,2.095473,1.547337,1000
1000,scorep,10000,250,13,1.117094,0.564452,16000
1001,tikki,10000,1000,17,1.169799,0.623380,1000
1002,void,10000,1000,1,4.868477,4.323653,1000
1003,empty,10000,250,24,1.108148,0.568202,16000
1004,printf,10000,500,17,1.109557,0.563759,4000
1005,empty,10000,500,5,1.498756,0.950075,4000
1006,extrae,10000,250,7,1.330334,0.780587,16000
1007,empty,10000,1000,12,1.119679,0.574074,1000
1008,empty,10000,250,22,1.114387,0.566716,16000
1009,void,10000,1000,2,2.879911,2.334331,1000
101,oot,10000,2000,9,1.197919,0.649236,250
1010,extrae,10000,1000,24,1.214123,0.668477,1000
1011,tikki,10000,500,11,1.149600,0.603190,4000
1012,void,10000,1000,8,1.181605,0.632247,1000
1013,extrae,10000,1000,10,1.156575,0.609423,1000
1014,scorep,10000,250,21,1.111613,0.564517,16000
1015,extrae,10000,2000,12,1.229185,0.685837,250
1016,scorep,10000,2000,18,1.242075,0.695022,250
1017,empty,10000,500,11,1.129299,0.591314,4000
1018,printf,10000,2000,6,1.391746,0.849432,250
1019,extrae,10000,1000,22,1.205265,0.660226,1000
102,void,10000,500,5,1.492418,0.948407,4000
1020,extrae,10000,1000,2,2.891764,2.340350,1000
1021,printf,10000,2000,24,1.252640,0.703680,250
1022,extrae,10000,2000,9,1.223122,0.680127,250
1023,printf,10000,250,10,1.117098,0.574723,16000
1024,tikki,10000,2000,6,1.442083,0.894616,250
1025,printf,10000,250,4,1.683159,1.139079,16000
1026,void,10000,250,3,2.101343,1.550887,16000
1027,printf,10000,250,23,1.118212,0.570186,16000
1028,extrae,10000,2000,21,1.323454,0.778586,250
1029,extrae,10000,250,18,1.182045,0.635256,16000
103,printf,10000,1000,13,1.113397,0.565179,1000
1030,extrae,10000,500,19,1.171765,0.623621,4000
1031,void,10000,2000,2,2.861821,2.314939,250
1032,oot,10000,500,8,1.187474,0.642258,4000
1033,tikki,10000,2000,24,1.315736,0.769044,250
1034,void,10000,250,4,1.681058,1.135020,16000
1035,tikki,10000,2000,19,1.273880,0.730456,250
1036,printf,10000,1000,6,1.358315,0.814627,1000
1037,extrae,10000,250,13,1.148668,0.605024,16000
1038,printf,10000,2000,9,1.214821,0.675033,250
1039,empty,10000,2000,20,1.240098,0.692821,250
104,scorep,10000,1000,6,1.376631,0.824694,1000
1040,tikki,10000,250,13,1.148050,0.604702,16000
1041,void,10000,500,5,1.495422,0.950592,4000
1042,scorep,10000,500,8,1.191072,0.643071,4000
1043,empty,10000,500,23,1.110775,0.560965,4000
1044,oot,10000,2000,17,1.230930,0.683417,250
1045,tikki,10000,2000,22,1.292672,0.746316,250
1046,empty,10000,1000,17,1.121843,0.575808,1000
1047,oot,10000,250,16,1.116817,0.569085,16000
1048,scorep,10000,250,24,1.121677,0.571052,16000
1049,extrae,10000,2000,16,1.264907,0.719601,250
105,oot,10000,250,15,1.113672,0.565644,16000
1050,empty,10000,1000,21,1.125065,0.582156,1000
1051,empty,10000,250,5,1.483455,0.937650,16000
1052,printf,10000,1000,14,1.122734,0.574298,1000
1053,tikki,10000,2000,21,1.283552,0.749128,250
1054,extrae,10000,250,1,4.837618,4.294855,16000
1055,printf,10000,1000,8,1.172526,0.634196,1000
1056,printf,10000,2000,2,2.794678,2.245766,250
1057,oot,10000,2000,6,1.412421,0.866339,250
1058,void,10000,250,12,1.117519,0.571279,16000
1059,scorep,10000,2000,4,1.767082,1.218950,250
106,extrae,10000,2000,21,1.309499,0.763923,250
1060,printf,10000,2000,19,1.235015,0.693877,250
1061,printf,10000,500,24,1.106913,0.563533,4000
1062,empty,10000,1000,23,1.136888,0.585487,1000
1063,printf,10000,1000,10,1.118815,0.575625,1000
1064,tikki,10000,500,7,1.303073,0.759420,4000
1065,tikki,10000,500,5,1.540346,0.991148,4000
1066,empty,10000,2000,24,1.251591,0.708734,250
1067,printf,10000,1000,3,2.121259,1.578813,1000
1068,void,10000,250,20,1.115574,0.569493,16000
1069,scorep,10000,500,12,1.120370,0.571161,4000
107,scorep,10000,2000,13,1.197220,0.648546,250
1070,printf,10000,250,15,1.109550,0.562166,16000
1071,oot,10000,500,3,2.110125,1.564497,4000
1072,printf,10000,500,15,1.101978,0.558135,4000
1073,empty,10000,2000,1,4.826528,4.277166,250
1074,oot,10000,250,4,1.678899,1.139552,16000
1075,void,10000,2000,14,1.205455,0.655000,250
1076,extrae,10000,500,5,1.513783,0.968541,4000
1077,void,10000,1000,11,1.111846,0.568474,1000
1078,tikki,10000,1000,13,1.155013,0.610149,1000
1079,empty,10000,2000,16,1.212286,0.667323,250
108,oot,10000,500,6,1.364443,0.819164,4000
1080,oot,10000,1000,2,2.880776,2.335835,1000
1081,scorep,10000,2000,8,1.262172,0.712165,250
1082,extrae,10000,500,13,1.143302,0.601189,4000
1083,extrae,10000,2000,5,1.526984,0.982024,250
