run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
1,void,2048,128,13,0.881547,0.713974,1496
10,extrae,2048,128,9,1.154770,0.989461,1496
100,void,2048,256,11,1.360538,1.193266,204
1000,extrae,2048,256,13,1.299332,1.135151,204
1001,tikki,2048,192,2,3.427449,3.260841,385
1002,oot,2048,128,10,1.064481,0.897348,1496
1003,scorep,2048,128,13,0.885615,0.715190,1496
1004,oot,2048,192,2,3.366619,3.199660,385
1005,empty,2048,128,17,0.756422,0.589406,1496
1006,tikki,2048,64,18,0.717051,0.547693,11440
1007,void,2048,64,12,0.816449,0.649255,11440
1008,tikki,2048,128,3,2.812199,2.645146,1496
1009,oot,2048,256,10,1.375795,1.207763,204
101,void,2048,128,15,0.802075,0.634185,1496
1010,extrae,2048,256,7,1.672270,1.508058,204
1011,oot,2048,192,17,0.809722,0.642959,385
1012,printf,2048,64,17,0.669529,0.502150,11440
1013,void,2048,128,12,0.924097,0.756788,1496
1014,oot,2048,128,19,0.746564,0.579193,1496
1015,extrae,2048,128,3,2.751082,2.586158,1496
1016,void,2048,256,24,1.240065,1.073858,204
1017,printf,2048,128,11,0.984551,0.818120,1496
1018,scorep,2048,64,11,0.876880,0.706422,11440
1019,void,2048,64,19,0.640552,0.473608,11440
102,scorep,2048,128,23,0.667854,0.499442,1496
1020,tikki,2048,192,16,0.886183,0.719860,385
1021,empty,2048,192,16,0.816388,0.650284,385
1022,oot,2048,192,21,0.799597,0.631341,385
1023,tikki,2048,256,24,1.283055,1.116120,204
1024,printf,2048,256,7,1.725510,1.510992,204
1025,extrae,2048,256,15,1.211060,1.046523,204
1026,void,2048,64,4,1.899112,1.732449,11440
1027,printf,2048,256,21,1.243089,1.075413,204
1028,printf,2048,256,4,2.297628,2.131294,204
1029,empty,2048,64,6,1.427642,1.259791,11440
103,void,2048,128,18,0.766342,0.598348,1496
1030,tikki,2048,192,6,1.464793,1.297695,385
1031,scorep,2048,192,10,1.032436,0.868925,385
1032,scorep,2048,128,7,1.375501,1.206156,1496
1033,void,2048,192,8,1.179755,1.012493,385
1034,empty,2048,192,23,0.791243,0.623702,385
1035,printf,2048,192,23,0.780698,0.614119,385
1036,printf,2048,256,17,1.244008,1.077364,204
1037,scorep,2048,192,23,0.790470,0.621437,385
1038,extrae,2048,64,3,2.492827,2.328812,11440
1039,tikki,2048,128,4,2.152562,1.985313,1496
104,tikki,2048,64,5,1.654040,1.487152,11440
1040,printf,2048,128,5,1.778418,1.611447,1496
1041,void,2048,256,9,1.450301,1.283447,204
1042,void,2048,256,15,1.177877,1.011728,204
1043,printf,2048,128,4,2.077102,1.910249,1496
1044,printf,2048,192,21,0.809720,0.643827,385
1045,empty,2048,64,17,0.666714,0.500328,11440
1046,extrae,2048,256,22,1.357304,1.185044,204
1047,tikki,2048,192,21,0.855427,0.689043,385
1048,empty,2048,256,4,2.311167,2.143906,204
1049,printf,2048,64,16,0.678126,0.512241,11440
105,extrae,2048,128,7,1.399437,1.235663,1496
1050,oot,2048,128,5,1.772807,1.606101,1496
1051,extrae,2048,256,5,2.014387,1.850004,204
1052,extrae,2048,64,15,0.744573,0.580212,11440
1053,scorep,2048,64,23,0.573613,0.403754,11440
1054,empty,2048,64,21,0.596036,0.429132,11440
1055,scorep,2048,128,2,3.952405,3.784717,1496
1056,extrae,2048,256,2,4.165569,4.001389,204
1057,scorep,2048,256,14,1.197768,1.033041,204
1058,empty,2048,64,5,1.609836,1.443843,11440
1059,empty,2048,256,22,1.244481,1.077620,204
106,void,2048,64,1,6.739373,6.574205,11440
1060,tikki,2048,256,20,1.292579,1.127368,204
1061,void,2048,256,14,1.199866,1.032850,204
1062,empty,2048,256,8,1.560375,1.393880,204
1063,extrae,2048,256,24,1.367401,1.195354,204
1064,scorep,2048,64,1,6.750748,6.581394,11440
1065,tikki,2048,128,2,3.995832,3.829367,1496
1066,printf,2048,64,6,1.399760,1.233384,11440
1067,extrae,2048,192,2,3.367311,3.203430,385
1068,scorep,2048,64,15,0.704166,0.535221,11440
1069,tikki,2048,64,9,1.055731,0.889407,11440
107,void,2048,256,9,1.443458,1.276533,204
1070,extrae,2048,128,21,0.817316,0.644624,1496
1071,empty,2048,192,6,1.411633,1.245288,385
1072,empty,2048,128,21,0.703704,0.537421,1496
1073,extrae,2048,192,17,0.860129,0.695953,385
1074,void,2048,256,1,7.918233,7.751003,204
1075,printf,2048,64,24,0.556961,0.390082,11440
1076,void,2048,192,14,0.863689,0.696008,385
1077,extrae,2048,192,3,2.384355,2.218901,385
1078,tikki,2048,64,24,0.600431,0.433644,11440
1079,printf,2048,64,20,0.625210,0.457784,11440
108,oot,2048,256,5,2.008281,1.841057,204
1080,printf,2048,64,1,6.802885,6.636362,11440
