run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
1,extrae,10000,500,7,1.595301,1.063971,4000
10,empty,10000,500,14,1.592100,1.063955,4000
100,void,10000,2000,14,1.644553,1.116509,250
1000,tikki,10000,250,15,1.586342,1.050546,16000
1001,scorep,10000,250,9,1.547301,1.007575,16000
1002,tikki,10000,1000,16,1.631888,1.100264,1000
1003,empty,10000,500,1,7.352899,6.816986,4000
1004,printf,10000,500,14,1.597044,1.061769,4000
1005,void,10000,250,1,7.384926,6.853564,16000
1006,empty,10000,2000,14,1.696852,1.160774,250
1007,extrae,10000,500,12,1.645779,1.113764,4000
1008,tikki,10000,250,2,3.822994,3.290238,16000
1009,tikki,10000,1000,6,1.709209,1.179455,1000
101,extrae,10000,2000,11,1.678946,1.150465,250
1010,oot,10000,250,6,1.656296,1.123716,16000
1011,printf,10000,1000,2,3.727009,3.194223,1000
1012,oot,10000,250,11,1.558152,1.024130,16000
1013,printf,10000,250,5,1.864110,1.330766,16000
1014,extrae,10000,500,14,1.666696,1.126635,4000
1015,scorep,10000,2000,5,1.943737,1.410419,250
1016,void,10000,1000,13,1.610587,1.077798,1000
1017,printf,10000,2000,15,1.642342,1.107726,250
1018,empty,10000,250,3,2.652285,2.118640,16000
1019,extrae,10000,1000,1,7.348171,6.816937,1000
102,empty,10000,1000,3,2.654928,2.125391,1000
1020,tikki,10000,500,16,1.644736,1.110991,4000
1021,tikki,10000,500,10,1.644473,1.114487,4000
1022,printf,10000,500,5,1.814045,1.282929,4000
1023,printf,10000,500,4,2.119088,1.587197,4000
1024,scorep,10000,500,2,3.823520,3.290535,4000
1025,printf,10000,1000,5,1.873730,1.340454,1000
1026,void,10000,2000,10,1.651910,1.121323,250
1027,empty,10000,250,6,1.644240,1.111391,16000
1028,tikki,10000,250,1,7.853316,7.316392,16000
1029,tikki,10000,2000,9,1.664207,1.132968,250
103,scorep,10000,500,4,2.154970,1.620472,4000
1030,empty,10000,1000,10,1.599141,1.065660,1000
