run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
1,void,2048,128,13,1.208565,0.945781,1496
10,void,2048,64,9,1.633746,1.371051,11440
100,scorep,2048,192,13,1.173460,0.910040,385
1000,tikki,2048,64,5,2.756618,2.493577,11440
1001,tikki,2048,192,11,1.338118,1.075054,385
1002,scorep,2048,128,11,1.364282,1.101126,1496
1003,oot,2048,128,1,11.085060,10.822260,1496
1004,extrae,2048,64,14,1.269404,0.998199,11440
1005,scorep,2048,192,8,1.598874,1.335115,385
1006,printf,2048,128,2,5.744928,5.482167,1496
1007,scorep,2048,256,7,2.236661,1.973062,204
1008,oot,2048,64,11,1.395432,1.132155,11440
1009,void,2048,256,16,1.543943,1.281052,204
101,tikki,2048,128,12,1.311914,1.049156,1496
1010,oot,2048,192,12,1.230074,0.966898,385
1011,printf,2048,192,6,1.904960,1.641470,385
1012,oot,2048,256,14,1.586651,1.323872,204
1013,tikki,2048,192,2,4.732183,4.469340,385
1014,oot,2048,128,10,1.449835,1.186305,1496
1015,empty,2048,64,13,1.212619,0.949337,11440
1016,oot,2048,192,2,4.705217,4.441826,385
1017,extrae,2048,192,15,1.251865,0.982528,385
1018,oot,2048,192,3,3.326425,3.024903,385
1019,void,2048,64,12,1.305140,1.042235,11440
102,scorep,2048,256,13,1.628274,1.364781,204
1020,tikki,2048,128,3,3.994726,3.731433,1496
1021,oot,2048,256,10,1.806476,1.543233,204
1022,extrae,2048,256,7,2.260882,1.997823,204
1023,oot,2048,256,5,2.758930,2.496147,204
1024,extrae,2048,192,14,1.277532,1.007664,385
1025,void,2048,128,12,1.262408,0.999373,1496
1026,extrae,2048,128,9,1.621353,1.351792,1496
1027,extrae,2048,128,3,3.957240,3.693248,1496
1028,void,2048,192,7,1.699295,1.436777,385
1029,printf,2048,128,11,1.348088,1.084840,1496
103,void,2048,64,11,1.399031,1.136293,11440
1030,scorep,2048,64,11,1.450558,1.187045,11440
1031,extrae,2048,64,16,1.182994,0.913513,11440
1032,printf,2048,64,16,1.048099,0.785602,11440
1033,empty,2048,256,9,1.939227,1.676431,204
1034,tikki,2048,64,14,1.198862,0.935903,11440
1035,printf,2048,256,7,2.252269,1.989505,204
1036,void,2048,64,16,1.047281,0.784447,11440
1037,void,2048,64,4,3.273383,3.010341,11440
1038,tikki,2048,128,15,1.230170,0.879651,1496
1039,printf,2048,256,4,3.257757,2.994752,204
104,void,2048,192,2,4.716806,4.454043,385
1040,empty,2048,64,6,2.284257,2.020791,11440
1041,tikki,2048,192,6,1.940952,1.678021,385
1042,scorep,2048,192,10,1.380882,1.117351,385
1043,scorep,2048,128,7,1.911434,1.647842,1496
1044,void,2048,192,8,1.592716,1.329219,385
1045,void,2048,192,12,1.231428,0.967875,385
1046,oot,2048,256,2,5.857109,5.593732,204
1047,printf,2048,256,2,5.877136,5.613900,204
1048,tikki,2048,64,11,1.451507,1.188483,11440
1049,extrae,2048,64,3,4.333496,4.069602,11440
105,tikki,2048,256,6,2.546252,2.283132,204
1050,tikki,2048,128,4,3.101042,2.838067,1496
1051,printf,2048,128,5,2.508824,2.242572,1496
1052,void,2048,256,9,1.940826,1.678082,204
1053,oot,2048,128,15,1.095565,0.832269,1496
1054,printf,2048,128,4,3.045670,2.782290,1496
1055,scorep,2048,128,10,1.452405,1.188744,1496
1056,empty,2048,128,12,1.270434,1.007769,1496
1057,scorep,2048,192,6,1.903820,1.640343,385
1058,printf,2048,192,8,1.599726,1.336171,385
1059,empty,2048,256,4,3.214696,2.951353,204
106,oot,2048,192,11,1.280255,1.017488,385
1060,tikki,2048,192,15,1.171270,0.908131,385
1061,oot,2048,128,5,2.487309,2.224718,1496
