run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
1,extrae,10000,500,7,1.200162,0.728800,4000
10,tikki,10000,250,10,1.064738,0.588054,16000
100,empty,10000,250,16,0.843760,0.365896,16000
1000,void,10000,1000,14,0.906000,0.425876,1000
1001,void,10000,2000,7,1.264055,0.785182,250
1002,empty,10000,2000,17,1.028947,0.551243,250
1003,oot,10000,250,3,2.034000,1.554835,16000
1004,oot,10000,1000,13,0.927452,0.448860,1000
1005,printf,10000,250,18,0.831526,0.352849,16000
1006,void,10000,500,15,0.862393,0.383181,4000
1007,tikki,10000,1000,17,0.902384,0.422754,1000
1008,printf,10000,250,8,1.119198,0.640511,16000
1009,scorep,10000,500,16,0.847551,0.376812,4000
101,void,10000,2000,2,2.726559,2.249505,250
1010,empty,10000,500,11,0.970449,0.492100,4000
1011,extrae,10000,1000,11,1.030026,0.560238,1000
1012,scorep,10000,500,12,0.932574,0.454573,4000
1013,printf,10000,250,4,1.635582,1.157117,16000
1014,tikki,10000,500,14,0.913210,0.434348,4000
1015,printf,10000,2000,15,1.037904,0.558303,250
1016,void,10000,1000,17,0.862255,0.382489,1000
1017,scorep,10000,250,13,0.899068,0.427032,16000
1018,oot,10000,500,7,1.182936,0.703772,4000
1019,extrae,10000,500,17,0.907577,0.438315,4000
102,empty,10000,500,13,0.899779,0.423740,4000
1020,oot,10000,250,9,1.062720,0.584581,16000
1021,printf,10000,250,12,0.935932,0.456387,16000
1022,oot,10000,2000,10,1.127266,0.646554,250
1023,scorep,10000,250,18,0.827079,0.355459,16000
1024,tikki,10000,250,18,0.872956,0.394309,16000
1025,void,10000,2000,2,2.707315,2.226976,250
1026,scorep,10000,1000,16,0.863202,0.392602,1000
1027,empty,10000,2000,4,1.648529,1.171311,250
1028,empty,10000,500,16,0.848478,0.369877,4000
1029,oot,10000,2000,5,1.467881,0.989237,250
103,empty,10000,1000,15,0.882018,0.404114,1000
1030,empty,10000,250,12,0.932242,0.455053,16000
1031,tikki,10000,500,13,0.946595,0.467466,4000
1032,tikki,10000,2000,18,1.079854,0.601042,250
1033,tikki,10000,1000,16,0.912803,0.434785,1000
1034,extrae,10000,1000,4,1.603876,1.129863,1000
1035,void,10000,1000,11,0.985125,0.508419,1000
1036,tikki,10000,2000,17,1.067305,0.588735,250
1037,void,10000,500,17,0.843006,0.365231,4000
1038,tikki,10000,1000,20,0.897994,0.420366,1000
1039,printf,10000,1000,8,1.126880,0.647997,1000
104,oot,10000,2000,17,1.038477,0.559455,250
1040,tikki,10000,500,4,1.617695,1.140174,4000
1041,oot,10000,2000,18,1.033585,0.553496,250
1042,printf,10000,500,1,5.623342,5.145174,4000
1043,tikki,10000,250,16,0.880818,0.403858,16000
1044,tikki,10000,500,7,1.218516,0.740901,4000
1045,void,10000,500,5,1.404143,0.925524,4000
1046,tikki,10000,500,5,1.439622,0.964568,4000
1047,printf,10000,250,9,1.064153,0.586075,16000
1048,scorep,10000,2000,20,1.032466,0.558643,250
1049,void,10000,2000,5,1.460310,0.981693,250
105,empty,10000,1000,5,1.418405,0.938815,1000
1050,extrae,10000,250,1,5.666931,5.191600,16000
1051,empty,10000,2000,16,1.028218,0.549710,250
1052,oot,10000,250,4,1.607635,1.129925,16000
1053,void,10000,2000,10,1.122312,0.643477,250
1054,printf,10000,1000,6,1.299800,0.822469,1000
1055,printf,10000,2000,2,2.703362,2.224673,250
1056,empty,10000,250,9,1.060110,0.580919,16000
1057,tikki,10000,500,18,0.883134,0.405362,4000
1058,oot,10000,500,14,0.881790,0.404424,4000
1059,oot,10000,250,12,0.935317,0.458887,16000
106,void,10000,2000,12,1.084870,0.605056,250
1060,scorep,10000,250,9,1.059235,0.581701,16000
1061,extrae,10000,250,20,0.907588,0.434405,16000
1062,void,10000,250,13,0.901171,0.422710,16000
1063,printf,10000,250,16,0.842974,0.363141,16000
1064,extrae,10000,500,5,1.415139,0.940976,4000
1065,tikki,10000,250,19,0.870948,0.390685,16000
1066,printf,10000,2000,4,1.661538,1.183129,250
1067,oot,10000,250,14,0.871682,0.393288,16000
1068,oot,10000,2000,14,1.035748,0.556948,250
1069,scorep,10000,2000,8,1.205077,0.733279,250
107,scorep,10000,1000,11,0.992037,0.515680,1000
1070,tikki,10000,500,1,5.996935,5.518552,4000
1071,tikki,10000,500,11,1.004801,0.527281,4000
1072,empty,10000,2000,15,1.032332,0.552833,250
1073,scorep,10000,1000,18,0.859016,0.388112,1000
1074,tikki,10000,250,4,1.661452,1.182249,16000
1075,oot,10000,1000,12,0.955187,0.477133,1000
1076,tikki,10000,2000,1,6.046049,5.568628,250
1077,scorep,10000,2000,15,1.026194,0.554692,250
1078,tikki,10000,500,19,0.882026,0.404058,4000
1079,printf,10000,2000,5,1.455729,0.977282,250
108,empty,10000,2000,14,1.028081,0.552098,250
1080,void,10000,500,3,1.984858,1.506374,4000
1081,oot,10000,500,20,0.841941,0.363624,4000
1082,tikki,10000,250,12,0.969464,0.492092,16000
1083,scorep,10000,1000,20,0.854389,0.383744,1000
1084,empty,10000,500,10,1.011449,0.531606,4000
1085,oot,10000,250,13,0.898597,0.419900,16000
1086,extrae,10000,2000,20,1.108502,0.638296,250
1087,tikki,10000,1000,8,1.165874,0.687900,1000
1088,scorep,10000,1000,15,0.876293,0.405088,1000
1089,empty,10000,2000,8,1.203839,0.725810,250
109,tikki,10000,2000,20,1.068458,0.590370,250
1090,scorep,10000,500,18,0.836907,0.365730,4000
1091,extrae,10000,250,12,0.996712,0.527530,16000
1092,void,10000,500,6,1.272526,0.794078,4000
1093,tikki,10000,500,10,1.050335,0.573891,4000
1094,oot,10000,1000,5,1.418963,0.939852,1000
1095,void,10000,500,19,0.853179,0.363540,4000
1096,void,10000,2000,17,1.035967,0.556941,250
1097,void,10000,2000,1,5.648603,5.169860,250
1098,extrae,10000,1000,19,0.933480,0.464454,1000
1099,extrae,10000,2000,8,1.221889,0.750481,250
11,extrae,10000,2000,16,1.093813,0.624816,250
110,extrae,10000,500,14,0.938401,0.465792,4000
1100,void,10000,2000,20,1.032329,0.554162,250
1101,extrae,10000,250,10,1.082308,0.610928,16000
1102,scorep,10000,1000,14,0.895778,0.425405,1000
1103,printf,10000,500,2,2.798784,2.319427,4000
1104,empty,10000,250,2,2.863079,2.384749,16000
1105,extrae,10000,2000,6,1.373414,0.899000,250
1106,void,10000,1000,18,0.865763,0.385767,1000
1107,oot,10000,2000,19,1.035125,0.556483,250
1108,empty,10000,1000,7,1.200923,0.721570,1000
1109,oot,10000,500,9,1.056830,0.577503,4000
111,printf,10000,1000,3,1.992279,1.515559,1000
1110,extrae,10000,2000,5,1.480420,1.009165,250
1111,extrae,10000,2000,10,1.156938,0.684314,250
1112,tikki,10000,250,15,0.896292,0.416407,16000
1113,oot,10000,1000,6,1.295782,0.818526,1000
1114,scorep,10000,2000,9,1.148860,0.677857,250
1115,scorep,10000,1000,1,4.767402,4.296856,1000
1116,scorep,10000,500,17,0.840717,0.370312,4000
1117,empty,10000,1000,5,1.418203,0.939652,1000
1118,tikki,10000,2000,6,1.380892,0.901734,250
1119,oot,10000,500,3,1.972297,1.496121,4000
112,oot,10000,1000,15,0.888054,0.405991,1000
1120,empty,10000,500,7,1.177788,0.698963,4000
1121,empty,10000,1000,8,1.131284,0.653130,1000
1122,void,10000,1000,1,5.599839,5.121349,1000
1123,scorep,10000,500,16,0.846119,0.374890,4000
1124,scorep,10000,1000,18,0.858438,0.386094,1000
1125,empty,10000,2000,20,1.028715,0.550828,250
1126,tikki,10000,500,19,0.889108,0.410244,4000
1127,printf,10000,1000,16,0.869760,0.391394,1000
1128,printf,10000,500,7,1.187410,0.710949,4000
1129,void,10000,2000,9,1.161856,0.682040,250
113,tikki,10000,2000,9,1.200148,0.724898,250
1130,empty,10000,500,2,2.786101,2.307385,4000
1131,printf,10000,2000,16,1.035733,0.555442,250
1132,tikki,10000,1000,1,5.981801,5.503154,1000
1133,void,10000,1000,4,1.588974,1.107616,1000
1134,scorep,10000,500,9,1.050193,0.579788,4000
1135,tikki,10000,1000,8,1.170997,0.691376,1000
1136,printf,10000,250,1,5.668036,5.188882,16000
1137,void,10000,500,10,1.010976,0.532153,4000
1138,extrae,10000,2000,7,1.302410,0.829208,250
1139,oot,10000,1000,1,5.609120,5.129247,1000
114,extrae,10000,2000,1,5.667824,5.191745,250
1140,empty,10000,500,5,1.407143,0.926381,4000
1141,empty,10000,500,12,0.934837,0.454769,4000
1142,oot,10000,250,11,0.976884,0.496398,16000
1143,extrae,10000,250,14,0.950252,0.477815,16000
1144,void,10000,250,12,0.937669,0.457316,16000
1145,void,10000,1000,17,0.863534,0.384149,1000
1146,tikki,10000,2000,6,1.391630,0.912210,250
1147,empty,10000,250,16,0.831843,0.353106,16000
1148,tikki,10000,250,18,0.878206,0.398417,16000
