run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
1,void,2048,128,13,0.815427,0.644350,1496
10,oot,2048,192,6,1.236343,1.065952,385
100,empty,2048,192,8,1.067951,0.897488,385
1000,tikki,2048,128,3,2.395732,2.224485,1496
1001,void,2048,64,16,0.677447,0.507450,11440
1002,oot,2048,192,9,0.990622,0.819755,385
1003,empty,2048,256,20,1.034420,0.863603,204
1004,scorep,2048,192,19,0.691577,0.520184,385
1005,scorep,2048,64,18,0.675407,0.462048,11440
1006,void,2048,64,19,0.606760,0.435867,11440
1007,scorep,2048,64,20,0.592748,0.421717,11440
1008,tikki,2048,64,3,2.508104,2.326091,11440
1009,tikki,2048,192,9,1.027483,0.856957,385
101,empty,2048,256,18,1.074825,0.903503,204
1010,printf,2048,128,20,0.622466,0.450991,1496
1011,printf,2048,128,18,0.658087,0.486942,1496
1012,extrae,2048,192,18,0.756437,0.586080,385
1013,scorep,2048,64,2,3.560704,3.389945,11440
1014,scorep,2048,256,9,1.330631,1.160308,204
1015,printf,2048,128,16,0.709267,0.538452,1496
1016,printf,2048,256,10,1.283974,1.084133,204
1017,extrae,2048,256,20,1.120059,0.945872,204
1018,tikki,2048,64,17,0.693477,0.522365,11440
1019,oot,2048,128,6,1.378900,1.208249,1496
102,void,2048,256,6,1.642983,1.471961,204
1020,extrae,2048,192,12,0.884937,0.714473,385
1021,tikki,2048,64,9,1.080762,0.910198,11440
1022,empty,2048,128,3,2.358434,2.187342,1496
1023,oot,2048,64,16,0.679948,0.509144,11440
1024,void,2048,64,4,1.893165,1.721750,11440
1025,scorep,2048,128,1,6.601244,6.429432,1496
1026,tikki,2048,192,6,1.280086,1.109621,385
1027,oot,2048,128,13,0.818800,0.648247,1496
1028,tikki,2048,192,17,0.766459,0.596520,385
1029,extrae,2048,192,14,0.815726,0.645302,385
103,printf,2048,256,10,1.255611,1.084016,204
1030,scorep,2048,256,17,1.070889,0.900283,204
1031,tikki,2048,256,5,1.794607,1.624169,204
1032,printf,2048,128,6,1.376119,1.204360,1496
1033,empty,2048,128,9,1.039749,0.869443,1496
1034,oot,2048,256,13,1.162545,0.992261,204
1035,extrae,2048,128,16,0.757036,0.586937,1496
1036,extrae,2048,64,3,2.477348,2.306779,11440
1037,tikki,2048,128,11,0.951956,0.781469,1496
1038,printf,2048,256,20,1.032700,0.861856,204
1039,printf,2048,128,7,1.243975,1.072191,1496
104,printf,2048,64,10,0.970022,0.798885,11440
1040,void,2048,128,8,1.120569,0.948981,1496
1041,printf,2048,64,18,0.632047,0.460332,11440
1042,printf,2048,128,14,0.781575,0.610671,1496
1043,oot,2048,256,18,1.072568,0.902050,204
1044,printf,2048,64,7,1.261299,1.090442,11440
1045,extrae,2048,256,5,1.786011,1.615633,204
1046,oot,2048,128,18,0.660380,0.489186,1496
1047,scorep,2048,192,1,5.462177,5.291121,385
1048,scorep,2048,128,2,3.412577,3.241328,1496
1049,extrae,2048,256,4,2.003232,1.833276,204
105,extrae,2048,192,19,0.754938,0.585268,385
1050,extrae,2048,192,5,1.385968,1.215208,385
1051,extrae,2048,192,13,0.855071,0.684604,385
1052,void,2048,192,20,0.684780,0.514173,385
1053,extrae,2048,192,10,0.969863,0.799778,385
1054,void,2048,256,9,1.320475,1.149605,204
1055,tikki,2048,128,2,3.429205,3.258497,1496
1056,void,2048,256,13,1.159827,0.988870,204
1057,tikki,2048,64,16,0.732823,0.561153,11440
1058,extrae,2048,192,2,2.886267,2.716120,385
1059,oot,2048,192,10,0.935788,0.765642,385
106,scorep,2048,128,17,0.682442,0.511669,1496
1060,extrae,2048,192,17,0.779125,0.608714,385
1061,printf,2048,256,5,1.769729,1.598886,204
