State, th3, TASK, 0.002380, 0.002760, 0.000380, 0.000000, lapack_dlarfb
State, th3, TASK, 0.002762, 0.002984, 0.000221, 0.000000, lapack_dlarfb
State, th3, TASK, 0.002985, 0.003199, 0.000214, 0.000000, lapack_dlarfb
State, th3, TASK, 0.003201, 0.003415, 0.000215, 0.000000, lapack_dlarfb
State, th3, TASK, 0.003417, 0.003626, 0.000208, 0.000000, lapack_dlarfb
State, th3, TASK, 0.003913, 0.004204, 0.000291, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.004210, 0.004472, 0.000262, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.004477, 0.005060, 0.000583, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.005066, 0.005322, 0.000256, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.005327, 0.005580, 0.000253, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.005586, 0.005842, 0.000256, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.005848, 0.006436, 0.000588, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.006443, 0.006701, 0.000258, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.006707, 0.006958, 0.000251, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.006964, 0.007221, 0.000257, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.007227, 0.007549, 0.000322, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.007556, 0.007948, 0.000392, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.007955, 0.008307, 0.000352, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.008314, 0.008690, 0.000376, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.008697, 0.009162, 0.000466, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.009165, 0.009559, 0.000395, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.009561, 0.009953, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.009955, 0.010341, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.010343, 0.010727, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.010729, 0.011111, 0.000382, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.011113, 0.011496, 0.000383, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.011498, 0.011884, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.011886, 0.012275, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.012276, 0.012658, 0.000382, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.012660, 0.013067, 0.000407, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.013070, 0.013456, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.013457, 0.013843, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.013846, 0.014233, 0.000387, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.014236, 0.014627, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.014629, 0.015024, 0.000395, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.015027, 0.015404, 0.000378, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.015407, 0.015791, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.015794, 0.016171, 0.000377, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.016172, 0.016557, 0.000384, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.016559, 0.016962, 0.000402, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.016963, 0.017351, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.017354, 0.017738, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.017740, 0.018129, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.018131, 0.018520, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.018530, 0.018939, 0.000409, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.018941, 0.019327, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.019328, 0.019714, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.019716, 0.020102, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.020104, 0.020507, 0.000404, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.020512, 0.020876, 0.000365, 0.000000, lapack_dlarfb
State, th3, TASK, 0.020879, 0.021298, 0.000419, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.021300, 0.021684, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.021686, 0.022074, 0.000387, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.022076, 0.022474, 0.000398, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.022476, 0.022880, 0.000404, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.022885, 0.023292, 0.000407, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.023294, 0.023685, 0.000391, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.023687, 0.024073, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.024076, 0.024482, 0.000406, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.024484, 0.024914, 0.000430, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.024917, 0.025319, 0.000402, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.025321, 0.025718, 0.000397, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.025720, 0.026124, 0.000405, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.026127, 0.026515, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.026517, 0.026906, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.026909, 0.027135, 0.000226, 0.000000, lapack_dlarfb
State, th3, TASK, 0.027138, 0.027358, 0.000221, 0.000000, lapack_dlarfb
State, th3, TASK, 0.027502, 0.027882, 0.000380, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.027884, 0.028276, 0.000392, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.028278, 0.028656, 0.000379, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.028658, 0.029061, 0.000402, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.029063, 0.029439, 0.000376, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.029442, 0.029822, 0.000380, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.029824, 0.030201, 0.000377, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.030203, 0.030577, 0.000375, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.030579, 0.030953, 0.000374, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.030960, 0.031342, 0.000382, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.031344, 0.031724, 0.000380, 0.000000, lapack_dtpmqrt
