State, th3, TASK, 0.001237, 0.001497, 0.000260, 0.000000, lapack_dgeqrt, 0, 0
State, th3, TASK, 0.001503, 0.001601, 0.000098, 0.000000, lapack_dlarfb, 0, 1
State, th3, TASK, 0.001602, 0.001652, 0.000050, 0.000000, lapack_dlarfb, 0, 2
State, th3, TASK, 0.001837, 0.001943, 0.000107, 0.000000, lapack_dtpqrt, 0, 12
State, th3, TASK, 0.001945, 0.002035, 0.000091, 0.000000, lapack_dtpmqrt, 0, 13
State, th3, TASK, 0.002037, 0.002128, 0.000092, 0.000000, lapack_dtpmqrt, 0, 17
State, th3, TASK, 0.002129, 0.002233, 0.000103, 0.000000, lapack_dtpqrt, 0, 18
State, th3, TASK, 0.002234, 0.002324, 0.000089, 0.000000, lapack_dtpmqrt, 0, 19
State, th3, TASK, 0.002325, 0.002414, 0.000089, 0.000000, lapack_dtpmqrt, 0, 21
State, th3, TASK, 0.002415, 0.002481, 0.000066, 0.000000, lapack_dtpqrt, 1, 46
State, th3, TASK, 0.002482, 0.002569, 0.000088, 0.000000, lapack_dtpmqrt, 1, 47
State, th3, TASK, 0.002571, 0.002659, 0.000088, 0.000000, lapack_dtpmqrt, 1, 45
State, th3, TASK, 0.002660, 0.002748, 0.000088, 0.000000, lapack_dtpmqrt, 1, 50
State, th3, TASK, 0.002749, 0.002837, 0.000088, 0.000000, lapack_dtpmqrt, 1, 55
State, th3, TASK, 0.002838, 0.002887, 0.000048, 0.000000, lapack_dlarfb, 2, 64
State, th3, TASK, 0.002888, 0.002936, 0.000048, 0.000000, lapack_dlarfb, 2, 63
State, th3, TASK, 0.002937, 0.003027, 0.000090, 0.000000, lapack_dtpmqrt, 0, 28
State, th3, TASK, 0.003028, 0.003119, 0.000090, 0.000000, lapack_dtpmqrt, 0, 34
State, th3, TASK, 0.003120, 0.003208, 0.000088, 0.000000, lapack_dtpmqrt, 1, 54
State, th3, TASK, 0.003209, 0.003297, 0.000089, 0.000000, lapack_dtpmqrt, 1, 59
State, th3, TASK, 0.003298, 0.003387, 0.000089, 0.000000, lapack_dtpmqrt, 2, 70
State, th3, TASK, 0.003388, 0.003476, 0.000088, 0.000000, lapack_dtpmqrt, 2, 74
State, th3, TASK, 0.003502, 0.003591, 0.000089, 0.000000, lapack_dtpmqrt, 3, 82
State, th3, TASK, 0.003593, 0.003681, 0.000089, 0.000000, lapack_dtpmqrt, 3, 84
State, th2, TASK, 0.001503, 0.001715, 0.000212, 0.000000, lapack_dlarfb, 0, 3
State, th2, TASK, 0.001837, 0.002064, 0.000227, 0.000000, lapack_dtpmqrt, 0, 10
State, th2, TASK, 0.002067, 0.002265, 0.000199, 0.000000, lapack_dtpmqrt, 0, 16
State, th2, TASK, 0.002267, 0.002378, 0.000110, 0.000000, lapack_dtpmqrt, 0, 22
State, th2, TASK, 0.002379, 0.002468, 0.000089, 0.000000, lapack_dtpmqrt, 0, 23
State, th2, TASK, 0.002469, 0.002561, 0.000092, 0.000000, lapack_dtpmqrt, 0, 29
State, th2, TASK, 0.002562, 0.002677, 0.000115, 0.000000, lapack_dtpqrt, 0, 30
State, th2, TASK, 0.002679, 0.002768, 0.000089, 0.000000, lapack_dtpmqrt, 0, 31
State, th2, TASK, 0.002769, 0.002837, 0.000068, 0.000000, lapack_dtpqrt, 1, 56
State, th2, TASK, 0.002839, 0.002930, 0.000091, 0.000000, lapack_dtpmqrt, 0, 35
State, th2, TASK, 0.002931, 0.003019, 0.000088, 0.000000, lapack_dtpmqrt, 1, 60
State, th2, TASK, 0.003020, 0.003088, 0.000068, 0.000000, lapack_dtpqrt, 2, 69
State, th2, TASK, 0.003089, 0.003157, 0.000067, 0.000000, lapack_dtpqrt, 2, 73
State, th2, TASK, 0.003158, 0.003247, 0.000089, 0.000000, lapack_dtpmqrt, 2, 68
State, th2, TASK, 0.003248, 0.003336, 0.000089, 0.000000, lapack_dtpmqrt, 2, 72
State, th2, TASK, 0.003337, 0.003426, 0.000089, 0.000000, lapack_dtpmqrt, 2, 76
State, th2, TASK, 0.003503, 0.003592, 0.000089, 0.000000, lapack_dtpmqrt, 3, 81
State, th2, TASK, 0.003649, 0.003698, 0.000050, 0.000000, lapack_dlarfb, 4, 87
State, th2, TASK, 0.003766, 0.003855, 0.000089, 0.000000, lapack_dtpmqrt, 4, 89
State, th1, TASK, 0.001502, 0.001632, 0.000130, 0.000000, lapack_dlarfb, 0, 5
State, th1, TASK, 0.001837, 0.001943, 0.000106, 0.000000, lapack_dtpmqrt, 0, 11
State, th1, TASK, 0.001944, 0.002035, 0.000091, 0.000000, lapack_dtpmqrt, 0, 9
State, th1, TASK, 0.002037, 0.002132, 0.000095, 0.000000, lapack_dtpmqrt, 0, 15
State, th1, TASK, 0.002133, 0.002182, 0.000050, 0.000000, lapack_dlarfb, 1, 38
State, th1, TASK, 0.002183, 0.002231, 0.000048, 0.000000, lapack_dlarfb, 1, 37
State, th1, TASK, 0.002233, 0.002281, 0.000048, 0.000000, lapack_dlarfb, 1, 39
State, th1, TASK, 0.002282, 0.002350, 0.000068, 0.000000, lapack_dtpqrt, 1, 41
State, th1, TASK, 0.002352, 0.002439, 0.000088, 0.000000, lapack_dtpmqrt, 1, 42
State, th1, TASK, 0.002440, 0.002528, 0.000087, 0.000000, lapack_dgeqrt, 2, 61
State, th1, TASK, 0.002529, 0.002618, 0.000089, 0.000000, lapack_dtpmqrt, 1, 43
State, th1, TASK, 0.002619, 0.002707, 0.000089, 0.000000, lapack_dtpmqrt, 1, 48
State, th1, TASK, 0.002708, 0.002756, 0.000048, 0.000000, lapack_dlarfb, 2, 62
State, th1, TASK, 0.002757, 0.002846, 0.000088, 0.000000, lapack_dtpmqrt, 1, 44
State, th1, TASK, 0.002847, 0.002935, 0.000088, 0.000000, lapack_dtpmqrt, 1, 49
State, th1, TASK, 0.002936, 0.003003, 0.000067, 0.000000, lapack_dtpqrt, 2, 65
State, th1, TASK, 0.003004, 0.003092, 0.000088, 0.000000, lapack_dtpmqrt, 2, 66
State, th1, TASK, 0.003093, 0.003150, 0.000057, 0.000000, lapack_dgeqrt, 3, 77
State, th1, TASK, 0.003151, 0.003239, 0.000088, 0.000000, lapack_dtpmqrt, 2, 67
State, th1, TASK, 0.003240, 0.003329, 0.000089, 0.000000, lapack_dtpmqrt, 2, 71
State, th1, TASK, 0.003330, 0.003419, 0.000089, 0.000000, lapack_dtpmqrt, 2, 75
State, th1, TASK, 0.003435, 0.003502, 0.000067, 0.000000, lapack_dtpqrt, 3, 80
State, th1, TASK, 0.003592, 0.003648, 0.000056, 0.000000, lapack_dgeqrt, 4, 86
State, th1, TASK, 0.003699, 0.003766, 0.000067, 0.000000, lapack_dtpqrt, 4, 88
State, th1, TASK, 0.003856, 0.003911, 0.000056, 0.000000, lapack_dgeqrt, 5, 90
State, th0, TASK, 0.001502, 0.001621, 0.000119, 0.000000, lapack_dlarfb, 0, 4
State, th0, TASK, 0.001717, 0.001836, 0.000119, 0.000000, lapack_dtpqrt, 0, 6
State, th0, TASK, 0.001839, 0.001943, 0.000105, 0.000000, lapack_dtpmqrt, 0, 7
State, th0, TASK, 0.001945, 0.002030, 0.000086, 0.000000, lapack_dgeqrt, 1, 36
State, th0, TASK, 0.002031, 0.002080, 0.000049, 0.000000, lapack_dlarfb, 1, 40
State, th0, TASK, 0.002081, 0.002171, 0.000089, 0.000000, lapack_dtpmqrt, 0, 8
State, th0, TASK, 0.002172, 0.002262, 0.000090, 0.000000, lapack_dtpmqrt, 0, 14
State, th0, TASK, 0.002263, 0.002352, 0.000090, 0.000000, lapack_dtpmqrt, 0, 20
State, th0, TASK, 0.002354, 0.002461, 0.000107, 0.000000, lapack_dtpqrt, 0, 24
State, th0, TASK, 0.002462, 0.002551, 0.000089, 0.000000, lapack_dtpmqrt, 0, 25
State, th0, TASK, 0.002552, 0.002618, 0.000065, 0.000000, lapack_dtpqrt, 1, 51
State, th0, TASK, 0.002619, 0.002708, 0.000089, 0.000000, lapack_dtpmqrt, 0, 26
State, th0, TASK, 0.002709, 0.002799, 0.000091, 0.000000, lapack_dtpmqrt, 0, 32
State, th0, TASK, 0.002800, 0.002889, 0.000089, 0.000000, lapack_dtpmqrt, 1, 52
State, th0, TASK, 0.002890, 0.002978, 0.000088, 0.000000, lapack_dtpmqrt, 1, 57
State, th0, TASK, 0.002979, 0.003067, 0.000088, 0.000000, lapack_dtpmqrt, 0, 27
State, th0, TASK, 0.003069, 0.003157, 0.000089, 0.000000, lapack_dtpmqrt, 0, 33
State, th0, TASK, 0.003158, 0.003247, 0.000088, 0.000000, lapack_dtpmqrt, 1, 53
State, th0, TASK, 0.003248, 0.003336, 0.000088, 0.000000, lapack_dtpmqrt, 1, 58
State, th0, TASK, 0.003337, 0.003385, 0.000048, 0.000000, lapack_dlarfb, 3, 78
State, th0, TASK, 0.003387, 0.003434, 0.000048, 0.000000, lapack_dlarfb, 3, 79
