State, th3, TASK, 0.001649, 0.001791, 0.000142, 0.000000, lapack_dlarfb, 0, 5
State, th3, TASK, 0.002003, 0.002109, 0.000106, 0.000000, lapack_dtpmqrt, 0, 11
State, th3, TASK, 0.002110, 0.002200, 0.000090, 0.000000, lapack_dtpmqrt, 0, 8
State, th3, TASK, 0.002201, 0.002251, 0.000050, 0.000000, lapack_dlarfb, 1, 37
State, th3, TASK, 0.002253, 0.002368, 0.000116, 0.000000, lapack_dtpmqrt, 0, 17
State, th3, TASK, 0.002370, 0.002461, 0.000091, 0.000000, lapack_dtpmqrt, 0, 15
State, th3, TASK, 0.002462, 0.002553, 0.000091, 0.000000, lapack_dtpmqrt, 0, 21
State, th3, TASK, 0.002576, 0.002701, 0.000124, 0.000000, lapack_dtpqrt, 0, 30
State, th3, TASK, 0.002702, 0.002792, 0.000090, 0.000000, lapack_dtpmqrt, 0, 31
State, th3, TASK, 0.002793, 0.002886, 0.000093, 0.000000, lapack_dtpmqrt, 0, 29
State, th3, TASK, 0.002887, 0.002979, 0.000093, 0.000000, lapack_dtpmqrt, 0, 35
State, th3, TASK, 0.002981, 0.003048, 0.000067, 0.000000, lapack_dtpqrt, 1, 51
State, th3, TASK, 0.003050, 0.003138, 0.000088, 0.000000, lapack_dtpmqrt, 1, 52
State, th3, TASK, 0.003139, 0.003205, 0.000066, 0.000000, lapack_dtpqrt, 1, 56
State, th3, TASK, 0.003206, 0.003294, 0.000087, 0.000000, lapack_dtpmqrt, 1, 57
State, th3, TASK, 0.003295, 0.003382, 0.000088, 0.000000, lapack_dtpmqrt, 1, 58
State, th3, TASK, 0.003383, 0.003472, 0.000088, 0.000000, lapack_dtpmqrt, 2, 68
State, th3, TASK, 0.003473, 0.003562, 0.000089, 0.000000, lapack_dtpmqrt, 2, 72
State, th3, TASK, 0.003563, 0.003651, 0.000088, 0.000000, lapack_dtpmqrt, 2, 76
State, th3, TASK, 0.003680, 0.003768, 0.000088, 0.000000, lapack_dtpmqrt, 3, 82
State, th3, TASK, 0.003777, 0.003865, 0.000088, 0.000000, lapack_dtpmqrt, 3, 84
State, th3, TASK, 0.003943, 0.004031, 0.000088, 0.000000, lapack_dtpmqrt, 4, 89
State, th2, TASK, 0.001651, 0.001879, 0.000228, 0.000000, lapack_dlarfb, 0, 3
State, th2, TASK, 0.002003, 0.002239, 0.000236, 0.000000, lapack_dtpqrt, 0, 12
State, th2, TASK, 0.002243, 0.002440, 0.000197, 0.000000, lapack_dtpmqrt, 0, 13
State, th2, TASK, 0.002441, 0.002531, 0.000090, 0.000000, lapack_dtpmqrt, 0, 19
State, th2, TASK, 0.002533, 0.002601, 0.000068, 0.000000, lapack_dtpqrt, 1, 41
State, th2, TASK, 0.002602, 0.002690, 0.000088, 0.000000, lapack_dtpmqrt, 1, 42
State, th2, TASK, 0.002691, 0.002772, 0.000081, 0.000000, lapack_dgeqrt, 2, 61
State, th2, TASK, 0.002774, 0.002862, 0.000088, 0.000000, lapack_dtpmqrt, 1, 43
State, th2, TASK, 0.002863, 0.002913, 0.000049, 0.000000, lapack_dlarfb, 2, 62
State, th2, TASK, 0.002913, 0.003001, 0.000087, 0.000000, lapack_dtpmqrt, 1, 44
State, th2, TASK, 0.003002, 0.003091, 0.000088, 0.000000, lapack_dtpmqrt, 1, 49
State, th2, TASK, 0.003092, 0.003181, 0.000089, 0.000000, lapack_dtpmqrt, 1, 54
State, th2, TASK, 0.003181, 0.003230, 0.000049, 0.000000, lapack_dlarfb, 2, 63
State, th2, TASK, 0.003232, 0.003320, 0.000089, 0.000000, lapack_dtpmqrt, 1, 59
State, th2, TASK, 0.003322, 0.003387, 0.000066, 0.000000, lapack_dtpqrt, 2, 69
State, th2, TASK, 0.003389, 0.003454, 0.000065, 0.000000, lapack_dtpqrt, 2, 73
State, th2, TASK, 0.003455, 0.003513, 0.000058, 0.000000, lapack_dgeqrt, 3, 77
State, th2, TASK, 0.003515, 0.003563, 0.000049, 0.000000, lapack_dlarfb, 3, 78
State, th2, TASK, 0.003565, 0.003614, 0.000049, 0.000000, lapack_dlarfb, 3, 79
State, th2, TASK, 0.003679, 0.003776, 0.000097, 0.000000, lapack_dtpqrt, 3, 83
State, th2, TASK, 0.003827, 0.003877, 0.000050, 0.000000, lapack_dlarfb, 4, 87
State, th1, TASK, 0.001238, 0.001646, 0.000408, 0.000000, lapack_dgeqrt, 0, 0
State, th1, TASK, 0.001652, 0.001728, 0.000076, 0.000000, lapack_dlarfb, 0, 1
State, th1, TASK, 0.001729, 0.001779, 0.000050, 0.000000, lapack_dlarfb, 0, 2
State, th1, TASK, 0.002004, 0.002101, 0.000098, 0.000000, lapack_dtpmqrt, 0, 10
State, th1, TASK, 0.002103, 0.002195, 0.000092, 0.000000, lapack_dtpmqrt, 0, 9
State, th1, TASK, 0.002197, 0.002246, 0.000050, 0.000000, lapack_dlarfb, 1, 38
State, th1, TASK, 0.002248, 0.002375, 0.000127, 0.000000, lapack_dtpqrt, 0, 18
State, th1, TASK, 0.002377, 0.002470, 0.000093, 0.000000, lapack_dtpmqrt, 0, 23
State, th1, TASK, 0.002472, 0.002576, 0.000104, 0.000000, lapack_dtpqrt, 0, 24
State, th1, TASK, 0.002578, 0.002668, 0.000090, 0.000000, lapack_dtpmqrt, 0, 25
State, th1, TASK, 0.002668, 0.002761, 0.000093, 0.000000, lapack_dtpmqrt, 0, 27
State, th1, TASK, 0.002763, 0.002857, 0.000094, 0.000000, lapack_dtpmqrt, 0, 33
State, th1, TASK, 0.002858, 0.002948, 0.000089, 0.000000, lapack_dtpmqrt, 0, 28
State, th1, TASK, 0.002949, 0.003037, 0.000089, 0.000000, lapack_dtpmqrt, 0, 34
State, th1, TASK, 0.003038, 0.003127, 0.000088, 0.000000, lapack_dtpmqrt, 1, 45
State, th1, TASK, 0.003128, 0.003216, 0.000088, 0.000000, lapack_dtpmqrt, 1, 50
State, th1, TASK, 0.003217, 0.003305, 0.000088, 0.000000, lapack_dtpmqrt, 1, 55
State, th1, TASK, 0.003306, 0.003395, 0.000088, 0.000000, lapack_dtpmqrt, 1, 60
State, th1, TASK, 0.003396, 0.003484, 0.000088, 0.000000, lapack_dtpmqrt, 2, 67
State, th1, TASK, 0.003485, 0.003574, 0.000088, 0.000000, lapack_dtpmqrt, 2, 71
State, th1, TASK, 0.003575, 0.003663, 0.000088, 0.000000, lapack_dtpmqrt, 2, 75
State, th1, TASK, 0.003680, 0.003768, 0.000088, 0.000000, lapack_dtpmqrt, 3, 81
State, th1, TASK, 0.003777, 0.003865, 0.000088, 0.000000, lapack_dtpmqrt, 3, 85
State, th1, TASK, 0.004032, 0.004091, 0.000059, 0.000000, lapack_dgeqrt, 5, 90
State, th0, TASK, 0.001650, 0.001786, 0.000137, 0.000000, lapack_dlarfb, 0, 4
State, th0, TASK, 0.001881, 0.002002, 0.000121, 0.000000, lapack_dtpqrt, 0, 6
State, th0, TASK, 0.002005, 0.002108, 0.000103, 0.000000, lapack_dtpmqrt, 0, 7
State, th0, TASK, 0.002109, 0.002190, 0.000081, 0.000000, lapack_dgeqrt, 1, 36
State, th0, TASK, 0.002191, 0.002241, 0.000050, 0.000000, lapack_dlarfb, 1, 39
State, th0, TASK, 0.002242, 0.002312, 0.000071, 0.000000, lapack_dlarfb, 1, 40
State, th0, TASK, 0.002314, 0.002407, 0.000093, 0.000000, lapack_dtpmqrt, 0, 16
State, th0, TASK, 0.002408, 0.002500, 0.000092, 0.000000, lapack_dtpmqrt, 0, 22
State, th0, TASK, 0.002501, 0.002590, 0.000088, 0.000000, lapack_dtpmqrt, 0, 14
State, th0, TASK, 0.002591, 0.002679, 0.000088, 0.000000, lapack_dtpmqrt, 0, 20
State, th0, TASK, 0.002680, 0.002769, 0.000089, 0.000000, lapack_dtpmqrt, 0, 26
State, th0, TASK, 0.002770, 0.002860, 0.000090, 0.000000, lapack_dtpmqrt, 0, 32
State, th0, TASK, 0.002861, 0.002927, 0.000065, 0.000000, lapack_dtpqrt, 1, 46
State, th0, TASK, 0.002928, 0.003015, 0.000088, 0.000000, lapack_dtpmqrt, 1, 47
State, th0, TASK, 0.003016, 0.003104, 0.000087, 0.000000, lapack_dtpmqrt, 1, 48
State, th0, TASK, 0.003105, 0.003193, 0.000088, 0.000000, lapack_dtpmqrt, 1, 53
State, th0, TASK, 0.003195, 0.003244, 0.000049, 0.000000, lapack_dlarfb, 2, 64
State, th0, TASK, 0.003245, 0.003310, 0.000065, 0.000000, lapack_dtpqrt, 2, 65
State, th0, TASK, 0.003312, 0.003400, 0.000088, 0.000000, lapack_dtpmqrt, 2, 66
State, th0, TASK, 0.003400, 0.003489, 0.000088, 0.000000, lapack_dtpmqrt, 2, 70
State, th0, TASK, 0.003490, 0.003577, 0.000088, 0.000000, lapack_dtpmqrt, 2, 74
State, th0, TASK, 0.003614, 0.003679, 0.000064, 0.000000, lapack_dtpqrt, 3, 80
State, th0, TASK, 0.003768, 0.003827, 0.000058, 0.000000, lapack_dgeqrt, 4, 86
State, th0, TASK, 0.003878, 0.003942, 0.000065, 0.000000, lapack_dtpqrt, 4, 88
