State, th9, TASK, 0.012267, 0.012958, 0.000690, 0.000000, lapack_dlarfb
State, th9, TASK, 0.012962, 0.013394, 0.000432, 0.000000, lapack_dlarfb
State, th9, TASK, 0.014050, 0.015173, 0.001122, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.015177, 0.016052, 0.000875, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.016519, 0.017310, 0.000792, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.017314, 0.018085, 0.000771, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.018089, 0.018857, 0.000768, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.018862, 0.019657, 0.000794, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.019661, 0.020442, 0.000781, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.020449, 0.021240, 0.000791, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.021243, 0.022051, 0.000807, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.022054, 0.022856, 0.000802, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.022860, 0.023640, 0.000781, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.023643, 0.024413, 0.000769, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.024416, 0.025177, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.025181, 0.025942, 0.000761, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.025945, 0.026723, 0.000779, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.026727, 0.027152, 0.000425, 0.000000, lapack_dlarfb
State, th9, TASK, 0.027157, 0.027946, 0.000789, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.027950, 0.028739, 0.000789, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.028743, 0.029523, 0.000781, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.029527, 0.030293, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.030296, 0.031070, 0.000773, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.031073, 0.031836, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.031839, 0.032613, 0.000774, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.032617, 0.033165, 0.000548, 0.000000, lapack_dtpqrt
State, th9, TASK, 0.033177, 0.033928, 0.000751, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.033931, 0.034693, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.034696, 0.035461, 0.000765, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.035466, 0.036238, 0.000772, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.036242, 0.037010, 0.000768, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.037014, 0.037787, 0.000774, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.037791, 0.038564, 0.000773, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.038568, 0.039348, 0.000779, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.039351, 0.040092, 0.000740, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.040095, 0.040832, 0.000736, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.040835, 0.041571, 0.000736, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.041574, 0.042305, 0.000731, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.042308, 0.043050, 0.000741, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.043054, 0.043824, 0.000770, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.043828, 0.044590, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.044596, 0.045360, 0.000764, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.045366, 0.045793, 0.000427, 0.000000, lapack_dlarfb
State, th9, TASK, 0.045798, 0.046215, 0.000417, 0.000000, lapack_dlarfb
State, th9, TASK, 0.046220, 0.046634, 0.000415, 0.000000, lapack_dlarfb
State, th9, TASK, 0.046640, 0.047435, 0.000795, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.047439, 0.048216, 0.000777, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.048219, 0.048992, 0.000772, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.048995, 0.049748, 0.000753, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.049752, 0.050495, 0.000743, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.050498, 0.051255, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.051259, 0.052022, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.052026, 0.052784, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.052788, 0.053547, 0.000759, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.053550, 0.054310, 0.000759, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.054313, 0.055078, 0.000765, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.055081, 0.055838, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.055841, 0.056598, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.056602, 0.057367, 0.000765, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.057370, 0.058133, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.058137, 0.058912, 0.000775, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.058916, 0.059699, 0.000784, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.059703, 0.060484, 0.000781, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.060493, 0.061258, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.061262, 0.062022, 0.000760, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.062026, 0.062793, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.062796, 0.063573, 0.000776, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.063576, 0.064337, 0.000761, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.064341, 0.065109, 0.000768, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.065112, 0.065870, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.065873, 0.066628, 0.000756, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.066632, 0.067405, 0.000773, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.067408, 0.068168, 0.000760, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.068172, 0.068935, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.068938, 0.069695, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.069699, 0.070466, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.070470, 0.071249, 0.000779, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.071252, 0.072018, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.072022, 0.072791, 0.000769, 0.000000, lapack_dtpmqrt
