State, th9, TASK, 0.008277, 0.008731, 0.000454, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.009171, 0.009610, 0.000440, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.009664, 0.010099, 0.000435, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.010213, 0.011104, 0.000891, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.011830, 0.012437, 0.000608, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.013038, 0.013781, 0.000743, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.014322, 0.015805, 0.001483, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.015954, 0.017628, 0.001674, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.017984, 0.018896, 0.000912, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.019411, 0.020727, 0.001317, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.020889, 0.021889, 0.001000, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.021913, 0.023015, 0.001102, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.023040, 0.024141, 0.001101, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.024167, 0.025342, 0.001175, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.025362, 0.026482, 0.001121, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.026508, 0.027666, 0.001158, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.027705, 0.028701, 0.000995, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.028748, 0.029770, 0.001022, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.029796, 0.030802, 0.001005, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.030833, 0.031833, 0.001001, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.031863, 0.032907, 0.001044, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.032944, 0.034009, 0.001065, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.034038, 0.035055, 0.001017, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.035083, 0.036076, 0.000993, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.036110, 0.037152, 0.001042, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.037186, 0.038194, 0.001008, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.038217, 0.039231, 0.001014, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.039258, 0.040793, 0.001536, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.040822, 0.041888, 0.001066, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.041922, 0.042955, 0.001032, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.042979, 0.043997, 0.001018, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.044030, 0.045067, 0.001037, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.045110, 0.046150, 0.001040, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.046195, 0.047258, 0.001063, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.047287, 0.048318, 0.001031, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.048339, 0.049372, 0.001032, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.049404, 0.050430, 0.001026, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.050456, 0.051445, 0.000989, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.051468, 0.052543, 0.001075, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.052566, 0.054131, 0.001565, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.054157, 0.055187, 0.001030, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.055220, 0.056268, 0.001049, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.056296, 0.057789, 0.001493, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.057805, 0.058780, 0.000975, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.058805, 0.059737, 0.000932, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.059765, 0.061251, 0.001486, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.061287, 0.062320, 0.001034, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.062349, 0.063354, 0.001005, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.063380, 0.064831, 0.001451, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.064884, 0.065904, 0.001020, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.065926, 0.066877, 0.000951, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.066905, 0.068351, 0.001446, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.068381, 0.069401, 0.001020, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.069436, 0.070384, 0.000948, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.070413, 0.071400, 0.000987, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.071432, 0.072363, 0.000931, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.072388, 0.073847, 0.001459, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.073885, 0.074856, 0.000971, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.074878, 0.075850, 0.000972, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.075888, 0.076884, 0.000996, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.076928, 0.077952, 0.001024, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.077994, 0.079603, 0.001609, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.079633, 0.080668, 0.001035, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.080739, 0.081753, 0.001015, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.081781, 0.082818, 0.001037, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.082865, 0.083858, 0.000992, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.083885, 0.084904, 0.001019, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.084929, 0.085930, 0.001002, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.085959, 0.086971, 0.001012, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.087009, 0.087994, 0.000985, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.088014, 0.088999, 0.000985, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.089027, 0.090065, 0.001038, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.090096, 0.091104, 0.001008, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.091126, 0.092089, 0.000963, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.092109, 0.093105, 0.000996, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.093128, 0.094137, 0.001009, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.094159, 0.095199, 0.001039, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.095212, 0.096234, 0.001021, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.096261, 0.097247, 0.000986, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.097276, 0.098269, 0.000993, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.098300, 0.099315, 0.001015, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.099355, 0.100353, 0.000998, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.100386, 0.101454, 0.001068, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.101490, 0.102509, 0.001019, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.102543, 0.103591, 0.001049, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.103611, 0.104658, 0.001047, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.104681, 0.105739, 0.001058, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.105763, 0.106794, 0.001031, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.106837, 0.107849, 0.001012, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.107866, 0.108905, 0.001039, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.108934, 0.109948, 0.001014, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.109980, 0.110968, 0.000987, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.111008, 0.112013, 0.001005, 0.000000, gauss-seidel-smoothing-formula
