nodos,tipo,modelo,batch,Blocks
1,sync,EfficientNetB0,64,.1
4,ctl,EfficientNetB0,256,.1
3,sync,EfficientNetB0,64,.1
4,sync,ResNet50,256,.1
2,ctl,EfficientNetB0,256,.1
4,ctl,EfficientNetB0,64,.1
2,ctl,EfficientNetB0,64,.1
2,sync,EfficientNetB0,256,.1
3,sync,EfficientNetB0,256,.1
1,ctl,EfficientNetB0,256,.1
3,ctl,EfficientNetB0,64,.1
1,sync,ResNet50,64,.1
3,ctl,EfficientNetB0,256,.1
3,sync,ResNet50,64,.1
1,ctl,ResNet50,64,.1
3,sync,ResNet50,256,.1
1,ctl,ResNet50,256,.1
2,sync,EfficientNetB0,64,.1
3,ctl,ResNet50,64,.1
1,ctl,EfficientNetB0,64,.1
4,ctl,ResNet50,256,.1
2,ctl,ResNet50,64,.1
4,sync,ResNet50,64,.1
2,sync,ResNet50,256,.1
2,sync,ResNet50,64,.1
4,sync,EfficientNetB0,64,.1
2,ctl,ResNet50,256,.1
1,sync,EfficientNetB0,256,.1
4,sync,EfficientNetB0,256,.1
4,ctl,ResNet50,64,.1
1,sync,ResNet50,256,.1
3,ctl,ResNet50,256,.1
4,ctl,EfficientNetB0,64,.2
2,sync,EfficientNetB0,256,.2
1,ctl,ResNet50,64,.2
2,ctl,ResNet50,64,.2
3,ctl,EfficientNetB0,256,.2
4,ctl,ResNet50,64,.2
4,sync,ResNet50,64,.2
3,ctl,ResNet50,256,.2
2,ctl,EfficientNetB0,256,.2
2,ctl,ResNet50,256,.2
1,sync,ResNet50,256,.2
1,sync,EfficientNetB0,256,.2
1,sync,EfficientNetB0,64,.2
2,sync,EfficientNetB0,64,.2
1,ctl,EfficientNetB0,256,.2
2,sync,ResNet50,64,.2
4,ctl,EfficientNetB0,256,.2
3,sync,EfficientNetB0,256,.2
4,sync,ResNet50,256,.2
3,sync,ResNet50,64,.2
4,ctl,ResNet50,256,.2
2,sync,ResNet50,256,.2
3,ctl,EfficientNetB0,64,.2
1,ctl,ResNet50,256,.2
1,ctl,EfficientNetB0,64,.2
4,sync,EfficientNetB0,64,.2
2,ctl,EfficientNetB0,64,.2
3,sync,EfficientNetB0,64,.2
3,sync,ResNet50,256,.2
3,ctl,ResNet50,64,.2
4,sync,EfficientNetB0,256,.2
1,sync,ResNet50,64,.2
3,ctl,ResNet50,256,.3
3,ctl,EfficientNetB0,256,.3
2,ctl,ResNet50,64,.3
3,sync,EfficientNetB0,64,.3
1,sync,ResNet50,64,.3
3,sync,ResNet50,256,.3
3,sync,EfficientNetB0,256,.3
1,ctl,EfficientNetB0,256,.3
1,ctl,ResNet50,256,.3
1,sync,ResNet50,256,.3
2,ctl,ResNet50,256,.3
1,ctl,EfficientNetB0,64,.3
3,ctl,EfficientNetB0,64,.3
4,sync,ResNet50,256,.3
3,ctl,ResNet50,64,.3
1,ctl,ResNet50,64,.3
2,sync,ResNet50,64,.3
4,sync,EfficientNetB0,64,.3
4,ctl,EfficientNetB0,256,.3
2,ctl,EfficientNetB0,256,.3
4,ctl,ResNet50,64,.3
2,sync,EfficientNetB0,64,.3
4,ctl,EfficientNetB0,64,.3
2,sync,EfficientNetB0,256,.3
4,sync,ResNet50,64,.3
4,sync,EfficientNetB0,256,.3
3,sync,ResNet50,64,.3
1,sync,EfficientNetB0,64,.3
2,ctl,EfficientNetB0,64,.3
4,ctl,ResNet50,256,.3
2,sync,ResNet50,256,.3
1,sync,EfficientNetB0,256,.3
1,ctl,EfficientNetB0,256,.4
3,ctl,ResNet50,64,.4
2,sync,EfficientNetB0,64,.4
1,ctl,EfficientNetB0,64,.4
1,sync,EfficientNetB0,64,.4
3,sync,EfficientNetB0,256,.4
1,ctl,ResNet50,256,.4
4,ctl,ResNet50,256,.4
4,sync,EfficientNetB0,256,.4
4,ctl,EfficientNetB0,64,.4
4,sync,ResNet50,256,.4
2,ctl,EfficientNetB0,64,.4
2,ctl,ResNet50,256,.4
4,ctl,ResNet50,64,.4
4,sync,ResNet50,64,.4
1,sync,ResNet50,256,.4
3,ctl,ResNet50,256,.4
2,ctl,EfficientNetB0,256,.4
2,ctl,ResNet50,64,.4
3,ctl,EfficientNetB0,64,.4
2,sync,ResNet50,64,.4
3,sync,EfficientNetB0,64,.4
2,sync,EfficientNetB0,256,.4
3,ctl,EfficientNetB0,256,.4
4,sync,EfficientNetB0,64,.4
3,sync,ResNet50,256,.4
3,sync,ResNet50,64,.4
1,ctl,ResNet50,64,.4
4,ctl,EfficientNetB0,256,.4
1,sync,ResNet50,64,.4
2,sync,ResNet50,256,.4
1,sync,EfficientNetB0,256,.4
1,sync,ResNet50,64,.5
2,ctl,ResNet50,64,.5
3,sync,EfficientNetB0,64,.5
4,sync,EfficientNetB0,64,.5
4,ctl,ResNet50,256,.5
1,sync,EfficientNetB0,64,.5
4,sync,ResNet50,64,.5
2,sync,EfficientNetB0,64,.5
1,sync,EfficientNetB0,256,.5
3,ctl,ResNet50,256,.5
1,ctl,EfficientNetB0,256,.5
2,sync,ResNet50,256,.5
2,sync,EfficientNetB0,256,.5
2,ctl,EfficientNetB0,64,.5
3,ctl,EfficientNetB0,256,.5
3,sync,ResNet50,256,.5
1,ctl,ResNet50,64,.5
4,sync,EfficientNetB0,256,.5
3,sync,EfficientNetB0,256,.5
3,sync,ResNet50,64,.5
2,ctl,ResNet50,256,.5
3,ctl,ResNet50,64,.5
4,sync,ResNet50,256,.5
1,ctl,ResNet50,256,.5
4,ctl,EfficientNetB0,256,.5
4,ctl,ResNet50,64,.5
4,ctl,EfficientNetB0,64,.5
1,sync,ResNet50,256,.5
1,ctl,EfficientNetB0,64,.5
2,ctl,EfficientNetB0,256,.5
2,sync,ResNet50,64,.5
3,ctl,EfficientNetB0,64,.5
